Quadrat_ID,Mining_type,Photo_File_Name,Plate_Reference,Observed_Structural_Features,Visible_Ground_Stratum,Observation_Tier,Verification_Status
OC-Q1,Opencast,OC-Q1_photo_1.jpeg,Appendix F Photographic Plates (OC-Q1),Reclamation plantation with Eucalyptus & Gmelina; open broken canopy; dry leaf litter with sparse saplings; heavy overburden impact.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q1,Opencast,OC-Q1_photo_2.jpeg,Appendix F Photographic Plates (OC-Q1),Reclamation plantation with Eucalyptus & Gmelina; open broken canopy; dry leaf litter with sparse saplings; heavy overburden impact.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q1,Opencast,OC-Q1_photo_3.jpeg,Appendix F Photographic Plates (OC-Q1),Reclamation plantation with Eucalyptus & Gmelina; open broken canopy; dry leaf litter with sparse saplings; heavy overburden impact.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q2,Opencast,OC-Q2_photo_1.jpeg,Appendix F Photographic Plates (OC-Q2),Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q2,Opencast,OC-Q2_photo_2.jpeg,Appendix F Photographic Plates (OC-Q2),Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q2,Opencast,OC-Q2_photo_3.jpeg,Appendix F Photographic Plates (OC-Q2),Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q2,Opencast,OC-Q2_photo_4.jpeg,Appendix F Photographic Plates (OC-Q2),Adjacent to mine water drainage sump; mature Ficus & Carissa carandas; dry soil with limited herbaceous ground layer; localized foliar chlorosis.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q3,Opencast,OC-Q3_photo_1.jpeg,Appendix F Photographic Plates (OC-Q3),Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q3,Opencast,OC-Q3_photo_2.jpeg,Appendix F Photographic Plates (OC-Q3),Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q3,Opencast,OC-Q3_photo_3.jpeg,Appendix F Photographic Plates (OC-Q3),Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q3,Opencast,OC-Q3_photo_4.jpeg,Appendix F Photographic Plates (OC-Q3),Planted Pongamia stand with mature Diospyros; woody climber (Bauhinia vahlii) on boles; bare rocky spoil patches with dry litter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q4,Opencast,OC-Q4_photo_1.jpeg,Appendix F Photographic Plates (OC-Q4),Semi-open canopy dominated by 5 Holarrhena stems; dry leaf litter and bare compacted soil patches; disturbed opencast perimeter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q4,Opencast,OC-Q4_photo_2.jpeg,Appendix F Photographic Plates (OC-Q4),Semi-open canopy dominated by 5 Holarrhena stems; dry leaf litter and bare compacted soil patches; disturbed opencast perimeter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q4,Opencast,OC-Q4_photo_3.jpeg,Appendix F Photographic Plates (OC-Q4),Semi-open canopy dominated by 5 Holarrhena stems; dry leaf litter and bare compacted soil patches; disturbed opencast perimeter.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q5,Opencast,OC-Q5_photo_1.jpeg,Appendix F Photographic Plates (OC-Q5),Multi-stemmed tree growth with Tamarindus & Mangifera; compound leaf foliage; anthropogenic debris and disturbed ground layer.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q5,Opencast,OC-Q5_photo_2.jpeg,Appendix F Photographic Plates (OC-Q5),Multi-stemmed tree growth with Tamarindus & Mangifera; compound leaf foliage; anthropogenic debris and disturbed ground layer.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
OC-Q5,Opencast,OC-Q5_photo_3.jpeg,Appendix F Photographic Plates (OC-Q5),Multi-stemmed tree growth with Tamarindus & Mangifera; compound leaf foliage; anthropogenic debris and disturbed ground layer.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q1,Underground,UG-Q1_photo_1.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q1,Underground,UG-Q1_photo_2.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q1,Underground,UG-Q1_photo_3.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
