Quadrat_ID,Mining_Type,Butterfly_Richness,Butterfly_Abundance,Butterfly_Shannon_H,Forest_Specialist_Butterflies_pct,Open_Weed_Generalist_Butterflies_pct,Key_Pollinator_Taxa,Soil_Macroinvertebrate_Abundance_m2,Soil_Macroinvertebrate_Richness,Ecological_Faunal_Functioning,Provenance_Governance_Flag
UG-Q1,Underground,14,62,2.38,38.0,42.0,"Catopsilia pomona, Papilio polytes, Eurema hecabe",48,8,Moderate woodland community; native nectar sources supporting diverse pierids and papilionids.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
UG-Q2,Underground,12,54,2.24,34.0,45.0,"Euploea core, Junonia almana, Tirumala limniace",42,7,Mature shade canopy providing roosting sites; litter fauna active.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
UG-Q3,Underground,19,88,2.68,58.0,28.0,"Troides minos, Papilio demoleus, Melanitis leda, Euploea core",72,11,High forest specialist representation; Sal sap feeding nymphalids; rich humic soil fauna.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
UG-Q4,Underground,15,68,2.44,42.0,38.0,"Papilio polytes, Junonia atlites, Cepora nerissa",52,8,Ficus fruit resources attract frugivorous butterflies and avian dispersers.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
UG-Q5,Underground,11,48,2.12,25.0,60.0,"Eurema hecabe, Catopsilia pyranthe, Danaus chrysippus",36,6,Edge habitat dominated by generalist pierids visiting roadside weeds.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
OC-Q1,Opencast,9,38,1.88,12.0,74.0,"Catopsilia pomona, Eurema blanda, Pelopidas mathias",22,4,Monoculture plantation structure offers limited larval host diversity; depauperate soil fauna.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
OC-Q2,Opencast,10,44,1.95,18.0,68.0,"Junonia lemonias, Euploea core, Zizeeria karsandra",18,4,"Sump margin provides mud-puddling moisture, but toxic mine drainage reduces larval survival.",POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
OC-Q3,Opencast,6,24,1.52,5.0,85.0,"Zizula hylax, Tarucus callinara, Eurema hecabe",8,2,Severe rocky substrate lacks nectar plants; extremely low macroinvertebrate colonization.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
OC-Q4,Opencast,14,65,2.35,32.0,48.0,"Papilio polytes, Euploea core, Catopsilia pomona, Lampides boeticus",38,7,Holarrhena blooms provide substantial nectar; structural shrub density fosters biotic complexity.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
OC-Q5,Opencast,4,21,1.15,0.0,95.0,"Danaus chrysippus, Eurema hecabe",2,1,Severely degraded spoil; butterflies restricted to brief monsoon Parthenium flower visits; zero earthworms.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
REF-Q1,Reference,28,145,3.12,74.0,14.0,"Troides minos, Graphium doson, Kaniska canace, Melanitis phedima, Charaxes athamas",135,18,High-integrity forest specialist assemblage; complex food web with abundant predatory carabids and spiders.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
REF-Q2,Reference,31,162,3.25,78.0,11.0,"Papilio clytia, Graphium agamemnon, Kallima inachus, Lethe europa, Mycalesis perseus",152,21,Pristine core woodland; rare nymphalids; exceptional litter microarthropod and earthworm biomass.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
REF-Q3,Reference,25,128,2.98,68.0,18.0,"Papilio demoleus, Cepora nerissa, Delias eucharis, Hypolimnas bolina",118,16,Rich canopy and understory nectar resources; healthy saproxylic beetle and termite decomposer guilds.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
REF-Q4,Reference,27,138,3.08,72.0,15.0,"Graphium doson, Euploea mulciber, Junonia iphita, Neptis hylas",128,17,Riparian buffer promotes high odonate and lepidopteran diversity; abundant myriapods.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
REF-Q5,Reference,26,132,3.04,70.0,16.0,"Papilio polytes, Melanitis leda, Euthalia aconthea, Castalius rosimon",122,16,Multi-strata microhabitats supporting specialized shade butterflies and soil engineers.,POLLARD_WALK_FIELD_SURVEY_TEMPLATE (Proposed bioindicator protocol; do not cite as conducted transect observations)
