Quadrat_ID,Mining_Type,Mine_Sector,Operational_Status,Years_Since_Mining_Started,Years_Since_Mining_Stopped,Years_Since_Revegetation,Overburden_Spoil_Age_yr,Soil_Source_Material,Depth_Replaced_Topsoil_cm,Reclamation_Treatment,Planted_Species,Initial_Planted_Density_ha,Survival_Rate_pct,Disturbance_Regime,Distance_to_Intact_Forest_m,Distance_to_Road_m,Distance_to_Settlement_m,Distance_to_Drainage_m,Distance_to_Active_Pit_m,Mechanistic_Ecological_Explanation,Provenance_Governance_Flag
UG-Q1,Underground,Banki Colliery (Incline No. 3),Operational (Subsurface active; surface intact),45,0,N/A (Continuous native tree cover),0,Undisturbed Native Alfisol (in situ profile),0,None (Preserved surface woodland with infrastructure fencing),None (Natural regeneration),0,100,Low human foot traffic; seasonal cattle grazing; no fire,420,110,280,150,3800,Surface profile intact above room-and-pillar workings; mature Terminalia and Vachellia provide stable shade and continuous litter fall.,SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
UG-Q2,Underground,Surakachhar Colliery (Shaft Block),Operational (Subsurface extraction; surface intact),38,0,N/A (Continuous native tree cover),0,Undisturbed Native Alfisol (in situ profile),0,None (Natural secondary woodland),None (Natural regeneration),0,100,Occasional branch lopping; moderate cattle transit; leaf litter collection,310,180,340,220,4200,Mature Wrightia and Azadirachta maintain open-to-moderate crown spread; thick dry litter limits monsoon weed invasion while sustaining perennial herbs.,SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
UG-Q3,Underground,Dhelwadih Colliery (Ventilation Buffer),Operational (Subsurface extraction; surface protected),32,0,N/A (Continuous native Sal forest),0,Undisturbed Native Alfisol (in situ profile),0,None (Protected forest lease boundary),None (Natural climax Sal regeneration),0,100,Very low disturbance; protected security buffer; no fire or grazing,85,350,620,90,4800,Dense Shorea robusta canopy creates microclimate buffering; high SOC (0.85%) and stable moisture support regenerating saplings and shade-tolerant ferns.,SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
UG-Q4,Underground,Balgi Colliery (Old Incline Area),Abandoned / Old Lease (Subsurface inactive 12 yr; surface intact),48,12,N/A (Spontaneous forest recovery),0,Undisturbed Native Alfisol (in situ profile),0,Natural recolonization around decommissioned shafts,None (Natural regeneration),0,100,Moderate grazing; abandoned infrastructure; firewood scavenging,250,140,410,210,3400,Dominant mature Ficus and Diospyros with massive girths maintain high carbon stocks and resilient drought-season NDVI.,SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
UG-Q5,Underground,Banki Colliery (West Section),Operational (Subsurface active; edge of agricultural interface),40,0,N/A (Degraded remnant woodland),0,Undisturbed Native Inceptisol (eroded topsoil),0,None (Fringe woodland),None (Natural regeneration),0,100,High cattle grazing; recurring understory trampling; edge effect,580,90,190,310,3900,"Open canopy with Terminalia tomentosa and Alstonia scholaris; edge disturbance promotes monsoon weed flush (Parthenium, Senna) that dies back in summer.",SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
OC-Q1,Opencast,Gevra OCP (Overburden Dump No. 4),Technically Reclaimed (Formal forestry plantation),22,12,12,15,Shale-Sandstone Overburden amended with 10 cm subsoil,10,Tree planting (Eucalyptus/Gmelina) + Cowdung slurry amendment + contour bunding,"Eucalyptus tereticornis, Gmelina arborea, Dalbergia sissoo",1600,62,Low grazing (fenced during early years); occasional litter fires in summer,920,220,850,420,1200,"12-year-old forestry reclamation successfully established evergreen woody overstory; high summer NDVI (0.4576), but allelopathic litter restricts native herb colonization.",SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
OC-Q2,Opencast,Dipka OCP (South Pit Sump Margin),Operational Buffer (Adjacent to mine water retention basin),26,0,N/A (Spontaneous colonizer stand around sump),18,Compacted Overburden Berm with alluvial silt wash,5,Drainage riprap stabilization; no formal planting,"Spontaneous Ficus benghalensis, Carissa carandas",0,100,Heavy mine machinery dust; saline mine-water seepage; periodic flooding,1150,75,1100,15,450,"Continuous subsurface seepage from pit sump supports persistent Ficus and Carissa, but severe coal dust deposition causes foliar chlorosis and lower summer NDVI (0.2386).",SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
OC-Q3,Opencast,Dipka OCP (North Overburden Slope),Reclaimed Plantation (Slow recovery on rocky substrate),18,8,8,11,Raw Mixed Overburden Spoil (Sandstone boulders + carbonaceous shale),0,Pit planting of Pongamia pinnata with single compost dose; no topsoil replacement,"Pongamia pinnata, Cassia siamea",1200,45,Gully erosion; high rock fragment surface cover (45%); intense drought desiccation,1380,160,950,380,750,Severe substrate coarse fragments (>44%) and zero topsoil retard woody growth; lowest summer NDVI (0.1894); sparse ground cover colonized by tough spear grass (Heteropogon).,SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
OC-Q4,Opencast,Gevra OCP (East Perimeter Stabilized Berm),Old Reclaimed / Stabilized Spoil (Persistent Native Thicket),25,15,15,18,Weathered Overburden capped with 20 cm replaced topsoil,20,Topsoil dressing + Cowdung manure + Initial Dalbergia/Holarrhena planting + Protection,"Holarrhena pubescens, Mangifera indica, Dalbergia sissoo",1400,78,Protected by perimeter ditch; very low grazing; seed rain from adjacent unmined forest,320,310,680,180,1600,"CRITICAL MECHANISM: 20 cm replaced topsoil + 15 yr recovery + 320 m to native seed source created resilient soil (penetration resistance 1.65 MPa, WHC 44.5%). Allowed Holarrhena to form dense, persistent woody thicket with high winter NDVI (0.6703) and suppression of invasive weeds.",SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
OC-Q5,Opencast,Gevra OCP (Active Haul Road Buffer Flank),Recently Abandoned Spoil Flank (Unreclaimed / Severely Degraded),15,4,0,4,Raw Highly Compacted Carbonaceous Shale / Overburden Spoil,0,Zero reclamation treatment; bulldozer leveling only; no amendments or planting,None (Spontaneous colonization by ruderal weeds),0,0,Intense dust fall; heavy machinery vibration; surface compaction; cattle grazing; high erosion,1450,35,720,540,320,"CRITICAL MECHANISM: Severe mechanical compaction (BD 1.78 g/cm3, penetration resistance 3.45 MPa) and zero topsoil restrict root penetration to 8 cm. Monsoon rain temporarily moistens surface, sparking massive ephemeral weed flush (Parthenium/Senna; monsoon NDVI 0.4992). By winter/summer, complete desiccation causes weed mortality and collapse to bare rocky spoil (summer NDVI 0.2137; amplitude 0.2854).",SITE_INTERVIEW_AND_MINE_RECORD_AUDIT_TEMPLATE (Template for SECL environment officers; do not report as confirmed mine history)
