Quadrat,Mining,In_Plot_Woody_Shrub,Dominant_Shrubs,Dominant_Herbs,Summer_Shrub_Status,Summer_Herb_Status,Summer_Cover_pct,Monsoon_Shrub_Status,Monsoon_Herb_Status,Monsoon_Cover_pct,Winter_Shrub_Status,Winter_Herb_Status,Winter_Cover_pct,Summer_NDVI,Monsoon_NDVI,Winter_NDVI,Seasonal_Amplitude,Winter_Monsoon_Ratio,Understory_Dynamic_Signature
UG-Q1,Underground,"Ziziphus mauritiana (Stem #4, GBH 0.70m, Ht 2.8m)","Ziziphus mauritiana, Lantana camara","Hyptis suaveolens, Cynodon dactylon, Senna tora",Drought-tolerant / Stunted green,Absent / Dormant rootstocks (Cynodon),"10-15% (scanty understory, 70% dry litter)",Vigorous thorny vegetative growth,Peak flush of Hyptis & Senna tora carpet,75-85% (dense green herbaceous layer),Fruiting / Foliated,Senescing Hyptis & dry Cynodon turf,40-50% (persistent shrub + drying herbs),0.317,0.519,0.578,0.202,1.114,Mixed Deciduous with Understory Turnover
UG-Q2,Underground,None (no stem >=10cm GBH; subcanopy Wrightia),"Nyctanthes arbor-tristis, Lantana camara","Phyllanthus niruri, Evolvulus nummularius, Senna tora",Dormant stems / Dry foliage,Absent / Prostrate dry rootstocks,15-20% (dry litter cover >65%),Active rough foliar growth,Subcanopy flush of Phyllanthus & Evolvulus,70-80% (conspicuous green ground layer),Sweet-scented flowering / Persistent foliage,Yellowing herbs / Residual green patches,35-45% (flowering shrubs + drying forbs),0.382,0.594,0.535,0.212,0.901,Persistent Woody / Shrub Baseline
UG-Q3,Underground,"Ziziphus mauritiana (Stem #2, GBH 0.70m, Ht 2.8m)","Ziziphus mauritiana, Shorea saplings (<10cm GBH)","Diplazium esculentum (shady hollows), shade-tolerant forbs",Deep-rooted shrubs & Sal saplings persist,Dormant beneath heavy Sal leaf litter,20-25% (sapling cover under dense tree canopy),Vigorous sapling & thorny shrub growth,Shade-adapted fern & seedling flush,60-70% (shaded understory stratum),Coriaceous leaves intact / Berry formation,Frond drying / Herbaceous senescence,30-40% (persistent Sal saplings & Ziziphus),0.478,0.553,0.465,0.075,0.841,Persistent Woody Baseline (Climax Sal Stand)
UG-Q4,Underground,None (massive Ficus/Mangifera/Diospyros boles),"Lantana camara, Woodfordia fruticosa","Ageratum conyzoides, Heteropogon contortus, Euphorbia hirta",Woodfordia leafless/flowering; Lantana scrub,Golden dry spear grass tussocks / Absent forbs,15-20% (bare soil patches & dry litter),Dense green leafy thickets,Rapid vegetative flush of Ageratum & grasses,80-90% (lush ground vegetation in gaps),Woodfordia red tubular bloom; Lantana fruiting,Black awned spear grass / Flowering Ageratum,45-55% (flowering shrubs & persistent grass),0.466,0.627,0.577,0.161,0.921,Persistent Woody / Shrub Baseline
UG-Q5,Underground,Ziziphus mauritiana (scattered shrub layer),"Ziziphus mauritiana, Woodfordia fruticosa","Parthenium hysterophorus, Senna tora, Hyptis suaveolens",Leafless / Xerophytic dormancy,Absent (dormant seed bank in cracked clay),5-10% (bare cracked clay soil & dry litter),Thorny leafy shoots,Dense invasion of Parthenium & Senna tora,75-85% (rapid seasonal weed carpet),Foliated / Pod formation,Senescent dry seed stalks & dying weeds,25-35% (dry stalks & sparse shrubs),0.265,0.457,0.399,0.192,0.873,Mixed Deciduous with Understory Turnover
OC-Q1,Opencast,None (Eucalyptus/Gmelina plantation rows),"Calotropis procera, Lantana camara","Parthenium hysterophorus, Senna tora, Cynodon dactylon",Glaucous thick leaves of Calotropis; Lantana,Absent / Dormant brown turf patches,10-15% (bare rocky overburden & dry litter),Lush vigorous shrub thickets,Contiguous ruderal weed carpet between rows,85-95% (heavy herbaceous overburden colonization),Calotropis & Lantana persistent green,Complete desiccation of Parthenium & Senna,30-40% (perennial shrubs + dry brown stalks),0.458,0.638,0.579,0.18,0.908,Persistent Woody Baseline (Eucalyptus Stand)
OC-Q2,Opencast,"Carissa carandas (Stem #4, GBH 0.35m, Ht 2.1m)","Carissa carandas, Calotropis procera","Diplazium esculentum (sump fringe), Evolvulus, Cynodon",Evergreen coriaceous leaves & white scented bloom,Dormant except moist drainage margins,15-20% (Carissa shrub + moist sump patch),Fruiting / Dense thorny green canopy,Riparian fern & creeping forb expansion,65-75% (marshy herbs & vigorous Carissa),Dense dark-green canopy & mature berries,Persistent ferns & green prostrate herbs,45-55% (high winter moisture near sump),0.239,0.366,0.414,0.128,1.129,Mixed Deciduous / Sump-Ameliorated Understory
OC-Q3,Opencast,Bauhinia vahlii (giant woody liana on Pongamia),"Bauhinia vahlii (stems), sparse Lantana","Euphorbia hirta, Acalypha indica, Heteropogon contortus",Woody liana stems / Dry scrub,Absent / Severe desiccation on rocky spoil,5-10% (bare rocky spoil & gravel >80%),Bauhinia lush foliar expansion on boles,Patchy ruderal weed growth in rock crevices,55-65% (liana foliage + ephemeral herbs),Persistent liana pods & coriaceous leaves,Rapid dying back of herbs / Dry spear grass,20-30% (drying liana & dead herbs),0.189,0.347,0.287,0.158,0.827,Mixed Canopy with Severe Spoil Desiccation
OC-Q4,Opencast,"Holarrhena antidysenterica (5 stems, GBH 0.32-0.45m)","Holarrhena antidysenterica (dense stand), Lantana","Hyptis suaveolens, Senna tora, Cynodon dactylon",White corymbose flowers & early leaf flush,Absent beneath shrub thicket,35-45% (dominant Holarrhena shrub canopy),Impenetrable leafy shrub thicket,Tall Hyptis & Senna tora along thicket edges,85-95% (continuous shrub + herb canopy),Paired slender pods / High leaf retention,Drying Hyptis stalks; Senna pods mature,60-70% (evergreen/semi-deciduous thicket),0.416,0.667,0.67,0.251,1.006,Persistent Woody Shrub Baseline (Holarrhena Thicket)
OC-Q5,Opencast,"None (open disturbed ground, Tamarindus/Mangifera)",Sparse peripheral Lantana camara,"Parthenium hysterophorus, Senna tora (monospecific flush)",Scraggy stunted Lantana on dump edge,Completely dead / Viable soil seed bank only,5% (95% bare compacted soil & debris),Lantana flowering/fruiting,Explosive monospecific carpet of Parthenium & Senna,"90-100% (complete vegetative carpet, peak biomass)",Lantana persistent,Abrupt post-monsoon senescence (brittle stalks),"20-25% (dry dead stalks, seed dispersal)",0.214,0.499,0.47,0.285,0.941,High Seasonal Green-Up Flush (Herbaceous-Dominated)
